source,title,link,summary,published,fetched_at
ESPN,Reports: USMNT's McKennie in gambling probe,https://www.espn.com/soccer/story/_/id/44644944/usa-weston-mckennie-players-italy-illegal-gambling-investigation,"United States midfielder Weston McKennie is among 13 soccer players being investigated for illegal online betting in Italy, according to widespread media reports.","Sun, 13 Apr 2025 08:25:59 EST",2025-04-13 18:42:09
BBC Sport,The smallest pitch invader - mouse stops MLS game,https://www.bbc.com/sport/football/articles/cgrgx4nndd2o,Play is stopped after a mouse runs on to the pitch in the Major League Soccer game between Vancouver Whitecaps and Houston.,"Sun, 13 Apr 2025 07:47:43 GMT",2025-04-13 18:42:11
BBC Sport,Why Salah turned down '£500m Saudi move' for Liverpool stay,https://www.bbc.com/sport/football/articles/c20xngdprpyo,BBC Sport senior football correspondent Sami Mokbel lifts the lid on why Mohamed Salah decided to stay at Liverpool despite interest from Saudi Arabia.,"Fri, 11 Apr 2025 17:12:44 GMT",2025-04-13 18:42:11
BBC Sport,Sutton's predictions v rapper Yizzy,https://www.bbc.com/sport/football/articles/cr4n6dk7w5wo,BBC Sport football expert Chris Sutton takes on rapper Yizzy with his predictions for this weekend's Premier League fixtures.,"Fri, 11 Apr 2025 11:54:16 GMT",2025-04-13 18:42:11
Sky Sports F1,Football latest: Bayern Munich slip up as Dortmund fight back to earn point,https://www.skysports.com/football/live-blog/12040/12507208/football-latest-news-gossip,,"Sat, 12 Apr 2025 20:45:00 BST",2025-04-13 18:42:12
