source,title,link,summary,published,fetched_at
BBC Sport,'Like a Jason Bourne movie' - how Afghan women's team fled Taliban,https://www.bbc.com/sport/cricket/articles/cx2k1z7zg8do,"The Afghanistan Women's XI played their first match after an evacuation likened to ""a Jason Bourne movie"", led by three women on the other side of the world.","Tue, 11 Feb 2025 06:26:16 GMT",2025-04-13 18:42:11
Billboard,‘The Bodyguard’ Remake Coming From Taylor Swift’s ‘Eras Tour’ Director Sam Wrench,https://www.billboard.com/music/music-news/the-bodyguard-remake-director-taylor-swift-eras-tour-1235944991/,The original 1992 film starred Whitney Houston and Kevin Costner.,"Sat, 12 Apr 2025 18:17:47 +0000",2025-04-13 18:42:25
